City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,katabu,-4.9333,122.5167,27.18,81,93,0.93,ID,1720074554
131,hola,51.5377,23.1902,18.1,76,98,2.18,PL,1720074554
132,revda,56.801,59.9303,27.68,57,11,3.27,RU,1720074554
133,ilulissat,69.2167,-51.1,4.01,87,4,1.54,GL,1720074554
134,brumado,-14.2036,-41.6653,16.77,95,1,1.21,BR,1720074555
135,tralee,52.2704,-9.7026,11.68,79,100,5.85,IE,1720074555
136,palmer,42.1584,-72.3287,18.45,75,0,2.57,US,1720074555
137,saldanha,-33.0117,17.9442,7.03,81,1,2.89,ZA,1720074555
138,fort bragg,35.139,-79.006,24.91,81,0,2.06,US,1720074555
139,anadyr,64.75,177.4833,10.28,87,40,9.0,RU,1720074555
140,mana,5.6592,-53.7767,24.72,92,27,3.74,GF,1720074556
141,tambopata,-12.7333,-69.1833,20.25,85,3,0.14,PE,1720074556
142,umba,66.6871,34.3429,13.41,61,54,5.07,RU,1720074556
143,wailua homesteads,22.0669,-159.378,24.44,82,75,7.72,US,1720074556
144,kikvidze,50.7416,43.0518,27.54,57,79,2.83,RU,1720074556
145,port alfred,-33.5906,26.891,13.43,73,39,2.24,ZA,1720074556
146,ingeniero jacobacci,-41.3427,-69.5448,-2.21,63,15,6.5,AR,1720074557
147,santo antonio do leverger,-15.8656,-56.0767,22.21,42,2,0.94,BR,1720074557
148,hell-ville,-13.4,48.2667,25.93,71,20,0.0,MG,1720074557
149,college,64.8569,-147.8028,15.04,77,75,2.06,US,1720074557
150,timimoun,29.2639,0.231,30.21,19,0,5.14,DZ,1720074557
151,capitao poco,-1.7464,-47.0594,21.69,97,54,2.25,BR,1720074557
152,lionel town,17.8101,-77.2406,28.94,92,100,7.12,JM,1720074557
153,nizhneangarsk,55.7833,109.55,22.36,52,9,1.57,RU,1720074558
154,malacca,2.196,102.2405,32.02,58,20,2.57,MY,1720074558
155,port lincoln,-34.7333,135.8667,13.33,65,77,8.06,AU,1720074558
156,crane,31.3974,-102.3501,30.41,40,42,9.49,US,1720074558
157,chiri-yurt,43.0867,45.7406,26.99,48,1,1.88,RU,1720074558
158,tafuna,-14.3358,-170.72,27.97,78,75,7.72,AS,1720074558
159,muroran,42.3172,140.9881,22.44,81,47,2.06,JP,1720074559
160,fisterra,42.9049,-9.2629,19.45,91,53,6.97,ES,1720074559
161,shimoda,34.6667,138.95,33.39,64,44,9.12,JP,1720074559
162,uturoa,-16.7333,-151.4333,26.18,75,42,10.86,PF,1720074559
163,lautoka,-17.6167,177.4667,26.92,69,20,0.0,FJ,1720074559
164,mangalia,43.8,28.5833,23.09,54,50,6.34,RO,1720074559
165,goz beida,13.95,20.55,27.29,56,99,6.71,TD,1720074560
166,kharp,66.8014,65.8081,21.98,61,90,3.75,RU,1720074560
167,nejo,9.5,35.5,17.49,79,100,1.28,ET,1720074560
168,kailua-kona,19.6406,-155.9956,26.98,88,20,6.17,US,1720074560
169,hithadhoo,-0.6,73.0833,29.06,74,90,4.01,MV,1720074560
170,kununurra,-15.7667,128.7333,25.99,22,1,5.14,AU,1720074560
171,benguela,-12.5763,13.4055,20.0,82,1,0.13,AO,1720074561
172,martapura,-3.4167,114.85,31.05,74,40,3.09,ID,1720074561
173,boundiali,9.5217,-6.4869,21.37,97,100,2.08,CI,1720074561
174,villa canas,-34.0057,-61.6076,3.85,10,100,0.88,AR,1720074611
175,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.51,GF,1720074611
176,selogiri,-7.7833,110.8667,28.66,68,93,4.67,ID,1720074612
177,severoural'sk,60.1533,59.952,31.79,36,32,4.01,RU,1720074612
178,san antonio de pale,-1.4014,5.6325,23.99,81,100,5.42,GQ,1720074612
179,blenheim,-41.516,173.9528,3.62,78,5,1.1,NZ,1720074612
180,petauke,-14.2426,31.3253,21.48,36,83,1.96,ZM,1720074612
181,mermoz boabab,14.7065,-17.4758,26.88,89,20,2.06,SN,1720074612
182,ad dawadimi,24.5077,44.3924,33.64,10,0,2.38,SA,1720074613
183,karratha,-20.7377,116.8463,23.92,21,0,8.05,AU,1720074613
184,georgetown,5.4112,100.3354,27.97,65,20,5.66,MY,1720074613
185,calhoun,42.2506,-85.0005,19.03,74,0,0.0,US,1720074613
186,nar'yan-mar,67.6713,53.087,20.27,62,8,11.94,RU,1720074613
187,cabo san lucas,22.8909,-109.9124,27.61,63,7,1.99,MX,1720074339
188,callao,-12.0667,-77.15,16.9,94,100,1.54,PE,1720074614
189,lerwick,60.1545,-1.1494,11.0,84,100,5.07,GB,1720074614
190,atafu village,-8.5421,-172.5159,28.65,78,100,10.69,TK,1720074614
191,san pedro,14.35,121.0167,31.29,75,100,2.57,PH,1720074614
192,huarmey,-10.0681,-78.1522,17.37,87,77,1.77,PE,1720074614
193,pemangkat,1.1667,108.9667,28.88,75,2,4.18,ID,1720074614
194,san julian,21.0167,-102.1667,15.41,84,17,2.49,MX,1720074614
195,ouro preto,-20.3948,-43.5052,11.89,87,0,1.19,BR,1720074615
196,guadalupe y calvo,26.1,-106.9667,14.48,99,83,0.56,MX,1720074615
197,dickson,36.077,-87.3878,27.3,86,0,2.06,US,1720074615
198,padangsidempuan,1.3667,99.2667,23.94,96,100,0.94,ID,1720074615
199,crucecita,-28.95,-58.9833,14.62,70,100,4.78,AR,1720074615
200,nagqu,31.5,92.0,17.14,32,100,1.14,CN,1720074615
201,maqat,47.65,53.3167,35.19,18,28,1.53,KZ,1720074616
202,iskateley,67.6803,53.1512,20.45,62,4,11.82,RU,1720074616
203,bom jardim,-7.7958,-35.5872,19.78,95,93,2.04,BR,1720074616
204,fort mcmurray,56.7268,-111.381,17.77,67,100,2.06,CA,1720074616
205,uzgen,40.7699,73.3007,28.16,13,100,5.52,KG,1720074616
206,ikovka,55.6089,64.9375,26.72,58,14,2.63,RU,1720074617
207,igarka,67.4667,86.5833,19.05,46,89,4.98,RU,1720074617
208,east london,-33.0153,27.9116,13.52,71,0,7.2,ZA,1720074617
209,beira,-19.8436,34.8389,19.05,88,0,2.57,MZ,1720074617
210,minas de marcona,-15.2119,-75.1103,10.22,88,24,2.0,PE,1720074617
211,aldama,22.9167,-98.0667,26.39,94,22,1.09,MX,1720074617
212,kavieng,-2.5744,150.7967,27.83,77,100,3.92,PG,1720074618
213,carnarvon,-24.8667,113.6333,21.8,34,0,7.63,AU,1720074618
214,sao jose da coroa grande,-8.8978,-35.1478,24.67,70,3,4.99,BR,1720074618
215,jayapura,-2.5333,140.7,31.66,75,100,2.4,ID,1720074618
216,coquimbo,-29.9533,-71.3436,8.85,100,86,1.54,CL,1720074618
217,nuuk,64.1835,-51.7216,7.71,70,5,4.02,GL,1720074437
218,san borja,-14.8167,-66.85,19.47,86,5,0.82,BO,1720074618
219,merizo village,13.2658,144.6691,31.31,84,43,5.01,GU,1720074619
220,mogadishu,2.0371,45.3438,27.93,74,20,8.23,SO,1720074619
221,kirakira,-10.4544,161.9205,26.32,77,98,4.99,SB,1720074619
222,fortuna,40.5982,-124.1573,12.19,94,0,1.54,US,1720074619
223,tsiombe,-25.3,45.4833,23.99,49,0,3.55,MG,1720074619
224,puerto armuelles,8.2833,-82.8667,24.49,90,100,3.58,PA,1720074619
225,ust-nera,64.5667,143.2,20.74,54,100,1.36,RU,1720074620
226,whitehorse,60.7161,-135.0538,16.43,59,75,6.71,CA,1720074620
227,ancud,-41.8697,-73.8203,3.85,68,41,3.64,CL,1720074620
228,utrik,11.2278,169.8474,27.7,83,100,6.89,MH,1720074620
229,mossel bay,-34.1831,22.146,10.96,69,1,6.86,ZA,1720074620
230,tucuma,-0.1833,-50.05,24.42,93,76,3.15,BR,1720074671
231,fale old settlement,-9.3852,-171.2468,28.58,78,21,10.77,TK,1720074671
232,nouadhibou,20.931,-17.0347,19.99,88,0,8.75,MR,1720074671
233,hatillo,18.4863,-66.8254,28.07,85,99,0.89,PR,1720074671
234,nemuro,43.3236,145.575,15.04,93,24,4.09,JP,1720074671
235,puerto san jose,13.9256,-90.8244,24.93,90,95,3.7,GT,1720074671
236,kota tinggi,1.7381,103.8999,33.13,60,81,3.55,MY,1720074672
237,hasaki,35.7333,140.8333,30.22,79,4,5.45,JP,1720074672
238,cabedelo,-6.9811,-34.8339,21.37,86,64,4.63,BR,1720074672
239,moranbah,-22.0016,148.0466,20.59,52,97,8.92,AU,1720074672
240,ta`u,-14.2336,-169.5144,26.97,79,13,10.42,AS,1720074672
241,veydelevka,50.1521,38.4492,30.34,40,61,4.22,RU,1720074672
242,uthal,25.8072,66.6219,35.43,53,27,4.67,PK,1720074673
243,pasuquin,18.3328,120.6177,32.97,75,75,4.12,PH,1720074673
244,hawaiian paradise park,19.5933,-154.9731,23.73,92,100,2.57,US,1720074673
245,itamaraca,-7.7478,-34.8256,26.03,81,90,4.88,BR,1720074673
246,goundam,16.4145,-3.6708,27.76,64,13,5.06,ML,1720074673
247,lethem,3.3803,-59.7968,23.53,91,13,2.13,GY,1720074673
248,kirensk,57.7853,108.1119,31.84,37,24,3.5,RU,1720074674
249,kaa-khem,51.6833,94.7333,24.8,46,100,0.76,RU,1720074674
250,coyhaique,-45.5752,-72.0662,-2.7,95,67,3.41,CL,1720074674
251,mount isa,-20.7333,139.5,23.87,35,40,3.6,AU,1720074618
252,cassilandia,-19.1133,-51.7342,17.12,43,0,0.97,BR,1720074674
253,kitimat,54.0524,-128.6534,17.21,81,39,1.79,CA,1720074674
254,cole harbour,44.6724,-63.4751,13.66,90,100,0.0,CA,1720074675
255,eyl,7.9803,49.8164,31.28,46,100,13.98,SO,1720074675
256,walvis bay,-22.9575,14.5053,5.53,100,0,3.09,NA,1720074675
257,hitoyoshi,32.2167,130.75,32.9,59,6,2.76,JP,1720074675
258,happy valley-goose bay,53.3168,-60.3315,17.17,88,100,2.57,CA,1720074675
259,gaspe,48.8334,-64.4819,22.12,46,100,3.09,CA,1720074675
260,tocopilla,-22.092,-70.1979,15.5,71,9,1.02,CL,1720074676
261,tobruk,32.0836,23.9764,26.59,62,0,3.73,LY,1720074676
262,sao borja,-28.6606,-56.0044,13.86,87,100,4.05,BR,1720074676
